NUMBER,NAME,TYPE,LAST_ERUPTION,COUNTRY,REGION,SUBREGION,LATITUDE,LONGITUDE,ELEVATION,POPULATION_5,POPULATION_10,POPULATION_30,POPULATION_100
264040,Tambora,Stratovolcano,1967,Indonesia,Indonesia,Lesser Sunda Islands,-8.25,118,2850,4156,11331,89006,1036033
264050,Sangeang Api,Complex,2020,Indonesia,Indonesia,Lesser Sunda Islands,-8.2,119.07,1912,204,1155,39301,809132
264060,"Sano, Wai",Caldera,Unknown,Indonesia,Indonesia,Lesser Sunda Islands,-8.724,119.986,1319,127347,127347,242184,831863
264071,Ranakah,Lava dome(s),1991,Indonesia,Indonesia,Lesser Sunda Islands,-8.62,120.52,2350,1283,63314,291790,860496
264080,Inierie,Stratovolcano,-8050,Indonesia,Indonesia,Lesser Sunda Islands,-8.875,120.95,2245,1073,7501,101938,809293
264090,Inielika,Complex,2001,Indonesia,Indonesia,Lesser Sunda Islands,-8.73,120.98,1559,4601,27281,162299,818815
264100,Ebulobo,Stratovolcano,1969,Indonesia,Indonesia,Lesser Sunda Islands,-8.817,121.191,2096,1278,24149,140204,674614
264110,Iya,Stratovolcano,1969,Indonesia,Indonesia,Lesser Sunda Islands,-8.891,121.641,618,10837,46835,62974,535387
264140,Kelimutu,Complex,1968,Indonesia,Indonesia,Lesser Sunda Islands,-8.77,121.82,1639,746,9896,118605,606946
264150,Paluweh,Stratovolcano,2013,Indonesia,Indonesia,Lesser Sunda Islands,-8.32,121.708,875,446,446,5284,548803
264160,Egon,Stratovolcano,2008,Indonesia,Indonesia,Lesser Sunda Islands,-8.676,122.455,1661,818,23263,250257,868670
264170,Ilimuda,Stratovolcano,Unknown,Indonesia,Indonesia,Lesser Sunda Islands,-8.479,122.761,881,32343,72197,263803,903546
264180,Lewotobi,Stratovolcano(es),2003,Indonesia,Indonesia,Lesser Sunda Islands,-8.542,122.775,1703,18686,59084,284976,906184
264200,Leroboleng,Complex,2003,Indonesia,Indonesia,Lesser Sunda Islands,-8.365,122.833,1095,9164,26794,358627,896194
264220,Iliboleng,Stratovolcano,1993,Indonesia,Indonesia,Lesser Sunda Islands,-8.342,123.258,1659,30359,87503,260688,757701
264230,Lewotolok,Stratovolcano,2022,Indonesia,Indonesia,Lesser Sunda Islands,-8.274,123.508,1431,4390,10032,159023,695083
264240,Ililabalekan,Stratovolcano,Unknown,Indonesia,Indonesia,Lesser Sunda Islands,-8.55,123.38,1018,7747,14260,123287,756090
264250,Iliwerung,Complex,2021,Indonesia,Indonesia,Lesser Sunda Islands,-8.532,123.573,583,968,4318,79569,665081
264260,"Tara, Batu",Stratovolcano,2015,Indonesia,Indonesia,Lesser Sunda Islands,-7.791,123.585,633,207,207,207,455429
264270,Sirung,Complex,2021,Indonesia,Indonesia,Lesser Sunda Islands,-8.508,124.13,862,5966,19334,69744,418756
265030,Gunungapi Wetar,Stratovolcano,1699,Indonesia,Indonesia,Banda Sea,-6.642,126.65,282,2,2,2,2
265040,Wurlali,Stratovolcano,1892,Indonesia,Indonesia,Banda Sea,-7.125,128.675,868,219,365,720,901
265050,Teon,Stratovolcano,1904,Indonesia,Indonesia,Banda Sea,-6.976,129.144,728,19,102,102,2045
265060,Nila,Stratovolcano,1968,Indonesia,Indonesia,Banda Sea,-6.73,129.5,781,200,200,200,1382
265070,Serua,Stratovolcano,1921,Indonesia,Indonesia,Banda Sea,-6.312,130.017,608,58,58,58,258
265080,Manuk,Stratovolcano,Unknown,Indonesia,Indonesia,Banda Sea,-5.543,130.303,257,0,0,0,58
265090,Banda Api,Caldera,1988,Indonesia,Indonesia,Banda Sea,-4.523,129.881,596,5682,5682,5810,5810
266010,Colo,Stratovolcano,1983,Indonesia,Indonesia,Sulawesi,-0.162,121.601,404,1897,2025,2025,229592
266020,Ambang,Complex,2005,Indonesia,Indonesia,Sulawesi,0.75,124.42,1795,9155,46469,319137,1730602
266030,Soputan,Stratovolcano,2020,Indonesia,Indonesia,Sulawesi,1.112,124.737,1785,4724,69991,501336,1696768
266040,Riendengan-Sempu,Caldera,Unknown,Indonesia,Indonesia,Sulawesi,1.13,124.758,1549,263169,263169,507642,1671136
266070,Tondano Caldera,Caldera,Unknown,Indonesia,Indonesia,Sulawesi,1.23,124.83,1202,321308,321308,903706,1558655
266100,Lokon-Empung,Stratovolcano(es),2015,Indonesia,Indonesia,Sulawesi,1.358,124.792,1580,12183,75684,942160,1583346
266110,Mahawu,Stratovolcano,1977,Indonesia,Indonesia,Sulawesi,1.352,124.865,1299,18618,111852,878193,1503109
266120,Klabat,Stratovolcano,Unknown,Indonesia,Indonesia,Sulawesi,1.454,125.031,1968,1352,39935,822740,1326026
266130,Tangkoko-Duasudara,Stratovolcano,1880,Indonesia,Indonesia,Sulawesi,1.518,125.185,1334,445,57792,135761,1227998
267010,Ruang,Stratovolcano,2002,Indonesia,Indonesia,Sangihe Islands,2.3,125.37,725,878,1652,2766,149159
267020,Karangetang,Stratovolcano,2022,Indonesia,Indonesia,Sangihe Islands,2.781,125.407,1797,892,4478,11066,65667
267030,Banua Wuhu,Submarine,1919,Indonesia,Indonesia,Sangihe Islands,3.138,125.491,-5,359,480,4586,69756
267040,Awu,Stratovolcano,2004,Indonesia,Indonesia,Sangihe Islands,3.689,125.447,1318,6409,22655,52725,58719
268001,Tarakan,Pyroclastic cone(s),Unknown,Indonesia,Indonesia,Halmahera,1.83,127.83,318,18056,23570,85055,360761
268010,Dukono,Complex,2022,Indonesia,Indonesia,Halmahera,1.693,127.894,1229,1575,3348,101506,393070
268020,Tobaru,Stratovolcano,Unknown,Indonesia,Indonesia,Halmahera,1.63,127.67,1035,215,5963,64388,532821
268030,Ibu,Stratovolcano,2022,Indonesia,Indonesia,Halmahera,1.488,127.63,1325,1560,14549,64581,637988
268040,Gamkonora,Stratovolcano,2007,Indonesia,Indonesia,Halmahera,1.38,127.53,1635,3354,12744,61376,627128
268050,Todoko-Ranu,Caldera(s),Unknown,Indonesia,Indonesia,Halmahera,1.25,127.47,979,366,10748,56900,631999
268051,Jailolo,Stratovolcano,Unknown,Indonesia,Indonesia,Halmahera,1.08,127.439,993,7459,21868,79855,633186
268052,Hiri,Stratovolcano,Unknown,Indonesia,Indonesia,Halmahera,0.9,127.32,630,5650,11454,295487,550526
268060,Gamalama,Stratovolcano(es),2018,Indonesia,Indonesia,Halmahera,0.8,127.33,1715,103429,204820,308691,536972
268061,Tidore,Stratovolcano,Unknown,Indonesia,Indonesia,Halmahera,0.658,127.4,1730,37379,74120,320483,530066
268062,Mare,Stratovolcano,Unknown,Indonesia,Indonesia,Halmahera,0.57,127.4,308,889,20821,300717,498716
268063,Moti,Stratovolcano,Unknown,Indonesia,Indonesia,Halmahera,0.454,127.411,927,3190,5051,89568,462393
268070,Makian,Stratovolcano,1988,Indonesia,Indonesia,Halmahera,0.32,127.4,1357,4986,8466,21360,441768
268071,Tigalalu,Stratovolcano,Unknown,Indonesia,Indonesia,Halmahera,0.07,127.42,422,621,2350,7396,422007
268072,Amasing,Stratovolcano(es),Unknown,Indonesia,Indonesia,Halmahera,-0.53,127.48,1030,59,803,26015,92417
268073,Bibinoi,Stratovolcano(es),Unknown,Indonesia,Indonesia,Halmahera,-0.761,127.725,932,53,4276,15604,83771
271010,Balut,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Mindanao,5.4,125.375,862,1472,1901,10763,1286239
271011,Parker,Stratovolcano,1641,Philippines,Philippines and SE Asia,Mindanao,6.113,124.892,1824,331,2963,484481,3532683
271020,Matutum,Stratovolcano,1290,Philippines,Philippines and SE Asia,Mindanao,6.37,125.07,2286,855,10431,822372,5316209
271030,Apo,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Mindanao,6.989,125.269,2938,1355,5431,767800,7768291
271031,Leonard Range,Stratovolcano,120,Philippines,Philippines and SE Asia,Mindanao,7.382,126.047,1080,908,3682,451047,4321874
271040,Makaturing,Stratovolcano,1882,Philippines,Philippines and SE Asia,Mindanao,7.644,124.317,1818,1501,9752,418007,6142586
271060,Ragang,Stratovolcano,1916,Philippines,Philippines and SE Asia,Mindanao,7.691,124.507,2790,447,2646,331796,6423725
271061,Kalatungan,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Mindanao,7.95,124.8,2824,418,27005,359527,5273061
271070,Musuan,Lava dome,Unknown,Philippines,Philippines and SE Asia,Mindanao,7.877,125.068,646,67591,134114,517243,6198562
271071,Malindang,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Mindanao,8.22,123.63,2404,317,13659,731423,4044299
271080,Camiguin,Stratovolcano(es),1953,Philippines,Philippines and SE Asia,Mindanao,9.203,124.673,1552,12173,51587,92178,2871353
272010,Cuernos de Negros,Complex,Unknown,Philippines,Philippines and SE Asia,Central Philippines,9.25,123.17,1862,1458,39681,531644,2960980
272020,Kanlaon,Stratovolcano,2017,Philippines,Philippines and SE Asia,Central Philippines,10.412,123.132,2435,1662,40276,923257,9345000
272030,Mandalagan,Complex,Unknown,Philippines,Philippines and SE Asia,Central Philippines,10.65,123.25,1885,563,6491,765974,9390672
272040,Silay,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Central Philippines,10.77,123.23,1510,310,11499,1167963,9522729
272050,CabalÃ­an,Stratovolcano,1820,Philippines,Philippines and SE Asia,Central Philippines,10.285,125.218,912,26511,88767,277950,2091362
272070,Mahagnao,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Central Philippines,10.882,124.888,860,11,4338,66949,827590
272080,Biliran,Compound,1939,Philippines,Philippines and SE Asia,Central Philippines,11.523,124.535,1301,4612,78799,254519,3177850
273010,Bulusan,Stratovolcano(es),2017,Philippines,Philippines and SE Asia,Luzon,12.769,124.056,1535,2789,74286,518705,3360418
273020,Pocdol Mountains,Compound,Unknown,Philippines,Philippines and SE Asia,Luzon,13.05,123.958,1102,2281,116612,808931,3440360
273030,Mayon,Stratovolcano,2019,Philippines,Philippines and SE Asia,Luzon,13.257,123.685,2462,4350,248448,1166441,4142375
273031,Masaraga,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Luzon,13.32,123.6,1328,14744,141095,1390760,4193903
273041,Iriga,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Luzon,13.458,123.451,1138,3712,142254,1159509,4399866
273042,Isarog,Stratovolcano,-3500,Philippines,Philippines and SE Asia,Luzon,13.658,123.38,1966,146,27806,1208269,4291363
273044,Malindig,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Luzon,13.24,122.018,1157,8066,21486,217286,2639049
273050,Banahaw,Complex,Unknown,Philippines,Philippines and SE Asia,Luzon,14.07,121.48,2158,754,93134,1698285,23837289
273060,San Pablo Volcanic Field,Stratovolcano,1350,Philippines,Philippines and SE Asia,Luzon,14.12,121.3,1090,1349742,1349742,3039334,24626975
273070,Taal,Caldera,2021,Philippines,Philippines and SE Asia,Luzon,14.002,120.993,311,717090,717090,2380326,24814047
273080,Laguna Caldera,Caldera,Unknown,Philippines,Philippines and SE Asia,Luzon,14.42,121.27,743,625567,625567,7073814,26270664
273081,Mariveles,Stratovolcano,-2050,Philippines,Philippines and SE Asia,Luzon,14.527,120.482,1388,903,48079,455154,25981912
273082,Natib,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Luzon,14.72,120.4,1253,450,4977,1050509,25524080
273083,Pinatubo,Stratovolcano,1993,Philippines,Philippines and SE Asia,Luzon,15.13,120.35,1486,725,3808,1148684,21875048
273084,Arayat,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Luzon,15.2,120.742,1026,7846,190674,2805269,27216491
273087,Patoc,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Luzon,17.147,120.98,1865,3621,24203,89470,5187827
273088,Ambalatungan Group,Compound,Unknown,Philippines,Philippines and SE Asia,Luzon,17.32,121.1,2329,493,3803,55724,4652400
273090,Cagua,Stratovolcano,1860,Philippines,Philippines and SE Asia,Luzon,18.222,122.123,1133,99,1137,34018,1480952
274010,Camiguin de Babuyanes,Stratovolcano,1857,Philippines,Philippines and SE Asia,North of Luzon,18.83,121.86,712,876,1066,1369,409653
274020,Didicas,Compound,1978,Philippines,Philippines and SE Asia,North of Luzon,19.077,122.202,228,0,0,132,52751
274030,Babuyan Claro,Stratovolcano(es),1924,Philippines,Philippines and SE Asia,North of Luzon,19.524,121.95,1064,208,222,222,11819
274050,Unnamed,Submarine,1854,Philippines,Philippines and SE Asia,North of Luzon,20.33,121.75,-24,1,214,8699,13109
274060,Iraya,Stratovolcano,1454,Philippines,Philippines and SE Asia,North of Luzon,20.469,122.01,1009,3087,4118,8255,12873
275001,Hainan Volcanic Field,Pyroclastic cone(s),1933,China,Philippines and SE Asia,Southeast Asia,19.905,110.229,196,1731229,1731229,1731229,6213231
275020,Ly Son Group,Volcanic field,Unknown,Vietnam,Philippines and SE Asia,Southeast Asia,15.38,109.12,157,700,700,29181,2303467
275060,"Cendres, Ile des",Submarine,1923,Vietnam,Philippines and SE Asia,Southeast Asia,10.158,109.014,-20,0,0,0,8069
275080,Popa,Stratovolcano,-6050,Burma (Myanmar),Philippines and SE Asia,Southeast Asia,20.92,95.25,1518,1108,22922,452931,5923206
275110,Tengchong,Pyroclastic cone(s),-5750,China,Philippines and SE Asia,Southeast Asia,25.23,98.5,2865,153375,153375,419814,2932117
281031,Kueishantao,Stratovolcano,1853,Taiwan,"Japan, Taiwan, Marianas",Taiwan,24.841,121.953,361,1,6523,471596,10011370
281032,Tatun Volcanic Group,Lava dome(s),648,Taiwan,"Japan, Taiwan, Marianas",Taiwan,25.178,121.553,1120,5084149,5084149,6735396,9862061
282010,Submarine Volcano NNE of Iriomotejima,Submarine,1924,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,24.57,123.93,-200,0,0,31167,50086
282020,Io-Torishima,Complex,1968,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,27.881,128.223,212,0,0,0,52818
282021,Yokoatejima,Stratovolcano(es),1835,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,28.797,128.997,495,62,64,72,72351
282022,Akusekijima,Stratovolcano(es),Unknown,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,29.465,129.594,555,52,52,199,749
282030,Suwanosejima,Stratovolcano(es),2022,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,29.638,129.714,796,107,107,325,1966
282040,Nakanoshima,Stratovolcano(es),1914,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,29.859,129.857,979,137,170,364,14037
282043,Kuchinoshima,Stratovolcano(es),1190,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,29.968,129.926,628,93,101,291,11002
282050,Kuchinoerabujima,Stratovolcano(es),2020,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,30.443,130.217,657,1544,1698,5348,149518
282060,Kikai,Caldera,2020,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,30.793,130.305,704,152,152,152,1002905
282070,Ata,Caldera(s),885,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,31.22,130.57,924,93134,93134,171590,1891380
282080,Aira,Caldera,2022,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,31.593,130.657,1117,4918,113874,905254,2610033
282081,Yonemaru-Sumiyoshiike,Maar(s),-6200,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,31.771,130.592,40,18080,73354,923168,2959509
282090,Kirishimayama,Shield,2018,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,31.934,130.862,1700,647,8415,407050,3972044
282091,Fukue,Shield(s),-400,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,32.657,128.849,315,18334,40407,61450,704523
282100,Unzendake,Complex,1996,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,32.761,130.299,1483,6979,76424,444737,7313362
282110,Asosan,Caldera,2021,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,32.884,131.104,1592,75559,75559,234591,6507519
282120,Kujusan,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,33.086,131.249,1791,1667,11771,181541,7815706
282130,Yufu-Tsurumi,Lava dome(s),867,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,33.282,131.39,1584,28543,139722,709942,7767905
283001,Abu,Shield(s),-6850,Japan,"Japan, Taiwan, Marianas",Honshu,34.5,131.6,641,3597,9594,117805,4071152
283002,Sanbesan,Stratovolcano,650,Japan,"Japan, Taiwan, Marianas",Honshu,35.141,132.622,1126,1300,6795,171742,3597290
283003,Oki-Dogo,Shield,Unknown,Japan,"Japan, Taiwan, Marianas",Honshu,36.176,133.334,151,6391,12388,22076,691492
283010,Izu-Tobu,Pyroclastic cone(s),1989,Japan,"Japan, Taiwan, Marianas",Honshu,34.9,139.098,1406,5886,61727,447660,17928355
283020,Hakoneyama,Complex,2015,Japan,"Japan, Taiwan, Marianas",Honshu,35.233,139.021,1438,14140,53755,1543563,30282197
283030,Fujisan,Stratovolcano,1708,Japan,"Japan, Taiwan, Marianas",Honshu,35.361,138.728,3776,570,1759,906969,25022187
283031,Yokodake,Stratovolcano(es),1200,Japan,"Japan, Taiwan, Marianas",Honshu,36.087,138.32,2480,1920,11751,484929,6385773
283040,Ontakesan,Complex,2014,Japan,"Japan, Taiwan, Marianas",Honshu,35.893,137.48,3067,176,2098,86634,8307889
283050,Hakusan,Stratovolcano,1659,Japan,"Japan, Taiwan, Marianas",Honshu,36.155,136.771,2702,474,807,63965,5959200
283060,Norikuradake,Stratovolcano(es),-50,Japan,"Japan, Taiwan, Marianas",Honshu,36.106,137.554,3026,250,1616,109638,5057979
283069,Akandanayama,Stratovolcano,Unknown,Japan,"Japan, Taiwan, Marianas",Honshu,36.2,137.573,2109,0,0,0,0
283070,Yakedake,Stratovolcano(es),1995,Japan,"Japan, Taiwan, Marianas",Honshu,36.227,137.587,2455,995,2995,156542,4595286
283071,Washiba-Kumonotaira,Shield(s),Unknown,Japan,"Japan, Taiwan, Marianas",Honshu,36.408,137.594,2924,53,215,104826,4446247
283080,Midagahara,Stratovolcano,1839,Japan,"Japan, Taiwan, Marianas",Honshu,36.571,137.59,2621,401,521,143935,4455560
283090,Niigata-Yakeyama,Lava dome,1998,Japan,"Japan, Taiwan, Marianas",Honshu,36.921,138.036,2400,73,610,226866,3920252
283100,Myokosan,Stratovolcano,-750,Japan,"Japan, Taiwan, Marianas",Honshu,36.891,138.114,2454,1563,11033,561142,4118863
283110,Asamayama,Complex,2019,Japan,"Japan, Taiwan, Marianas",Honshu,36.406,138.523,2568,583,22371,457576,7629353
283120,Kusatsu-Shiranesan,Stratovolcano(es),2018,Japan,"Japan, Taiwan, Marianas",Honshu,36.618,138.528,2165,4485,14296,434049,5947593
283121,Shiga,Shield(s),Unknown,Japan,"Japan, Taiwan, Marianas",Honshu,36.688,138.519,2041,2474,9610,449713,5784413
283122,Harunasan,Stratovolcano,550,Japan,"Japan, Taiwan, Marianas",Honshu,36.477,138.851,1449,1135,36116,1185012,14076385
283130,Akagisan,Stratovolcano,Unknown,Japan,"Japan, Taiwan, Marianas",Honshu,36.56,139.193,1828,961,4538,1116366,16718375
283131,Hiuchigatake,Stratovolcano,1544,Japan,"Japan, Taiwan, Marianas",Honshu,36.955,139.285,2356,179,720,18567,7523509
283140,Nikko-Shiranesan,Shield,1952,Japan,"Japan, Taiwan, Marianas",Honshu,36.799,139.376,2578,513,2502,79844,9303980
283141,Nantaisan,Stratovolcano,-9540,Japan,"Japan, Taiwan, Marianas",Honshu,36.765,139.491,2486,781,12768,128931,11079746
283142,Omanago Group,Lava dome(s),-3050,Japan,"Japan, Taiwan, Marianas",Honshu,36.795,139.507,2341,698,16316,113236,10276159
283143,Takaharayama,Stratovolcano,-4570,Japan,"Japan, Taiwan, Marianas",Honshu,36.9,139.777,1795,303,4572,381490,8750106
283150,Nasudake,Stratovolcano(es),1963,Japan,"Japan, Taiwan, Marianas",Honshu,37.125,139.963,1915,639,5802,298717,5725203
283151,Numazawa,Shield,-3400,Japan,"Japan, Taiwan, Marianas",Honshu,37.444,139.566,835,990,4082,110303,4383246
283160,Bandaisan,Stratovolcano,1888,Japan,"Japan, Taiwan, Marianas",Honshu,37.601,140.072,1816,5923,17608,327454,4709782
283170,Adatarayama,Stratovolcano(es),1996,Japan,"Japan, Taiwan, Marianas",Honshu,37.647,140.281,1728,428,3936,717078,5024654
283180,Azumayama,Stratovolcano(es),1977,Japan,"Japan, Taiwan, Marianas",Honshu,37.735,140.244,1949,128,907,548195,4877648
283190,Zaozan [Zaosan],Complex,1940,Japan,"Japan, Taiwan, Marianas",Honshu,38.144,140.44,1841,632,4681,550409,4956958
283191,Hijiori,Caldera,Unknown,Japan,"Japan, Taiwan, Marianas",Honshu,38.599,140.162,552,83511,83511,302176,4338240
283200,Naruko,Caldera,837,Japan,"Japan, Taiwan, Marianas",Honshu,38.729,140.734,470,54771,54771,210262,4417058
283210,Kurikomayama,Stratovolcano,1950,Japan,"Japan, Taiwan, Marianas",Honshu,38.961,140.788,1627,226,1081,104165,4615592
283220,Chokaisan,Stratovolcano(es),1974,Japan,"Japan, Taiwan, Marianas",Honshu,39.099,140.049,2236,131,707,185681,2301576
283230,Akita-Komagatake,Stratovolcano(es),1971,Japan,"Japan, Taiwan, Marianas",Honshu,39.761,140.799,1637,376,3864,216708,2521611
283240,Iwatesan,Complex,1919,Japan,"Japan, Taiwan, Marianas",Honshu,39.853,141.001,2038,439,18462,415920,2976795
283250,Hachimantai,Stratovolcano,-5350,Japan,"Japan, Taiwan, Marianas",Honshu,39.958,140.854,1613,268,1261,89833,3131126
283260,Akita-Yakeyama,Stratovolcano,1997,Japan,"Japan, Taiwan, Marianas",Honshu,39.964,140.757,1366,127,721,55493,3122037
283262,Megata,Maar(s),-2050,Japan,"Japan, Taiwan, Marianas",Honshu,39.95,139.73,291,1854,3577,81218,1205440
283270,Iwakisan,Stratovolcano,1863,Japan,"Japan, Taiwan, Marianas",Honshu,40.656,140.303,1625,918,13229,465065,1617801
283271,Towada,Caldera,915,Japan,"Japan, Taiwan, Marianas",Honshu,40.51,140.88,1011,12366,12366,103631,2237010
283280,Hakkodasan,Stratovolcano(es),1550,Japan,"Japan, Taiwan, Marianas",Honshu,40.659,140.877,1585,225,730,476624,1921667
283290,Osorezan,Stratovolcano,1787,Japan,"Japan, Taiwan, Marianas",Honshu,41.279,141.12,878,11577,42590,80028,1714622
284010,Izu-Oshima,Stratovolcano,1990,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.724,139.394,746,2381,8037,8375,11837468
284011,Toshima,Stratovolcano,-4550,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.52,139.279,508,330,331,13194,5285115
284020,Niijima,Lava dome(s),886,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.397,139.27,432,3060,3349,6139,1347661
284030,Kozushima,Lava dome(s),838,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.219,139.153,572,2406,2406,5716,442731
284040,Miyakejima,Stratovolcano,2010,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.094,139.526,775,1848,3189,3474,95663
284041,Mikurajima,Stratovolcano,-4100,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",33.874,139.602,851,293,293,4551,25466
284042,Kurose Hole,Submarine,Unknown,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",33.4,139.68,-107,0,0,46,14951
284050,Hachijojima,Stratovolcano(es),1606,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",33.137,139.766,854,11275,13560,13564,14082
284060,Aogashima,Stratovolcano,1785,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",32.458,139.759,423,232,232,232,8559
284061,Kita-Bayonnaise,Submarine,Unknown,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",32.1,139.85,-360,0,0,0,232
284070,Myojinsho,Submarine,1970,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",31.888,139.918,11,0,0,0,242
284080,Sumisujima,Submarine,1916,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",31.44,140.051,136,0,0,0,0
284090,Izu-Torishima,Stratovolcano,2002,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",30.484,140.303,394,21,21,21,21
284091,Sofugan,Stratovolcano,Unknown,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",29.794,140.342,99,0,0,0,21
284093,Suiyo Seamount,Submarine,Unknown,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",28.575,140.633,-991,0,0,0,0
284094,Mokuyo Seamount,Submarine,Unknown,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",28.327,140.572,-933,0,0,0,0
284095,Doyo Seamount,Submarine,Unknown,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",27.68,140.8,-590,0,0,0,0
284096,Nishinoshima,Caldera,2021,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",27.247,140.874,25,0,0,0,0
284097,Kaikata Seamount,Submarine,Unknown,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",26.667,140.929,-165,0,0,0,0
284100,Kaitoku Seamount,Submarine,1984,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",26.127,141.102,-95,0,0,0,160
284110,Kita-Ioto,Stratovolcano,1945,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",25.424,141.284,792,158,162,162,1210
284120,Ioto,Caldera,2012,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",24.751,141.289,169,1179,1179,1189,1370
284121,Kita-Fukutokutai,Submarine,1954,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",24.417,141.417,-73,0,0,23,1209
284130,Fukutoku-Oka-no-Ba,Submarine,2021,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",24.285,141.481,-29,11,19,19,951
284131,Minami-Hiyoshi,Submarine,1975,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",23.5,141.935,-107,0,0,0,26
284132,Nikko,Submarine,Unknown,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",23.078,142.326,-392,0,0,0,0
284133,Fukujin,Submarine,1974,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.93,143.47,-217,0,0,0,0
284134,Kasuga 1,Submarine,1959,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.765,143.71,-598,0,0,0,0
284135,Kasuga 2,Submarine,Unknown,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.6,143.637,-274,0,0,0,0
284136,NW Eifuku,Submarine,Unknown,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.485,144.043,-1535,0,0,0,0
284137,Daikoku,Submarine,Unknown,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.324,144.194,-323,0,0,0,0
284140,Farallon de Pajaros,Stratovolcano,1967,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.546,144.893,337,0,0,0,0
284141,Ahyi,Submarine,2014,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.42,145.03,-75,0,0,0,0
